Date,Active Energy,Exercise Time ,Body Fat,Sleep Asleep,Sleep Idel,Sleep In Bed,Weight
7/18/2022 0:00,303.25,9,,7.15,2.4,9.55, 
7/19/2022 0:00,368.24,31,,6.75,2.005833333,8.755833333, 
7/20/2022 0:00,493.22,50,,9.283333333,1.599999997,10.88333333, 
7/21/2022 0:00,358.33,9,,,0,, 
7/22/2022 0:00,225.56,9,,2.566666667,6.496770817,9.063437484, 
7/23/2022 0:00,404.41,19,,8.5,0.765460353,9.265460353, 
7/24/2022 0:00,290.59,17,,9.266666667,1.236742983,10.50340965, 
7/25/2022 0:00,494.39,26,,,0,, 
7/26/2022 0:00,334.92,17,,8.05,0.688737039,8.738737039, 
7/27/2022 0:00,224.61,13,,7.216666667,0.307606696,7.524273363, 
7/28/2022 0:00,357.44,14,13.6,7.783333333,0,7.783333333,55.89
7/29/2022 0:00,257.94,16,,,0,, 
7/30/2022 0:00,412.27,22,,7.984536527,1.324002999,9.308539526, 
7/31/2022 0:00,277.74,6,,9.1,1.09812667,10.19812667, 
8/1/2022 0:00,171.66,6,,,0,, 
8/2/2022 0:00,665.9,71,,6.158333333,3.847130577,10.00546391, 
8/3/2022 0:00,561.63,63,13.5,7.275,2.7284607,10.0034607,55.4
8/4/2022 0:00,659.4,90,,6.933333333,3.078617317,10.01195065, 
8/5/2022 0:00,421.46,42,,7.016666667,2.988799573,10.00546624, 
8/6/2022 0:00,141.35,2,14.2,10.21313069,1.09291805,11.30604874,58.33
8/7/2022 0:00,203.36,3,,6.706925914,3.296660816,10.00358673, 
8/8/2022 0:00,401.23,53,,8.233333333,1.748135485,9.981468818, 
8/9/2022 0:00,347.48,20,,,0,, 
8/10/2022 0:00,307.41,17,14.85,8.590322542,1.411883558,10.0022061,58.78
8/11/2022 0:00,470.24,36,,5.9,4.10927237,10.00927237, 
8/12/2022 0:00,351.31,29,14.1,,0,,57.48
8/13/2022 0:00,379.14,37,,7.000357531,3.003380119,10.00373765, 
8/14/2022 0:00,421.18,58,,9.496939192,1.503376478,11.00031567, 
8/15/2022 0:00,324.9,14,,5.483333333,4.517862907,10.00119624,58.02
8/16/2022 0:00,441.64,44,14.1,,0,,57.58
8/17/2022 0:00,298.25,31,,6.65,3.35076366,10.00076366, 
8/18/2022 0:00,352.96,29,,6.425,3.57717068,10.00217068, 
8/19/2022 0:00,295.22,8,,,0,, 
8/20/2022 0:00,497.07,65,,10.52357908,0.87379898,11.39737806, 
8/21/2022 0:00,718.28,78,14.83,8.049228795,1.953591185,10.00281998,57.82
8/22/2022 0:00,679.46,69,,6.7,3.3141948,10.0141948, 
8/23/2022 0:00,505.2,57,13.9,,0,,57.58
8/24/2022 0:00,601.33,63,,8.116666667,1.890570523,10.00723719, 
8/25/2022 0:00,799.95,110,14.3,7.533333333,3.078824147,10.61215748,57.93
8/26/2022 0:00,95.89,2,14.4,9.383333333,0.733333337,10.11666667,58.3
